2023-03-29 09:57:34,739  INFO [main] - Start cleanup annotation of documents ...
2023-03-29 09:57:40,809  INFO [main] - Total 2 annotation(s) removed from document 97478244, {80401B86-0700-CDAA-A66B-58A94310CFD5}
2023-03-29 09:57:40,865  INFO [main] - Total 2 annotation(s) removed from document 97478244, {05CF6664-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:40,908  INFO [main] - Total 2 annotation(s) removed from document 97550290, {70771B86-0700-CBBE-BF07-D45884B72F61}
2023-03-29 09:57:40,958  INFO [main] - Total 2 annotation(s) removed from document 97550290, {05D07FD2-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:41,233  INFO [main] - Total 15 annotation(s) removed from document 97788780, {F0261C86-0900-CEC8-B811-4C6FCE1067C4}
2023-03-29 09:57:41,602  INFO [main] - Total 15 annotation(s) removed from document 97788780, {05D4236C-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:41,786  INFO [main] - Total 15 annotation(s) removed from document 97788791, {00271C86-0100-CEAC-B357-AA7171150F2C}
2023-03-29 09:57:42,153  INFO [main] - Total 15 annotation(s) removed from document 97788791, {05D42377-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:42,602  INFO [main] - Total 27 annotation(s) removed from document 97788802, {00271C86-0700-CD0B-8464-0037E18C5538}
2023-03-29 09:57:43,307  INFO [main] - Total 27 annotation(s) removed from document 97788802, {05D42382-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:43,797  INFO [main] - Total 30 annotation(s) removed from document 97788815, {10271C86-0100-C158-B76C-DC45243527A0}
2023-03-29 09:57:44,469  INFO [main] - Total 30 annotation(s) removed from document 97788815, {05D4238F-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:44,744  INFO [main] - Total 17 annotation(s) removed from document 97788823, {10271C86-0900-C2B0-96EE-5D19ADF41AE4}
2023-03-29 09:57:45,364  INFO [main] - Total 17 annotation(s) removed from document 97788823, {05D42397-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:45,709  INFO [main] - Total 17 annotation(s) removed from document 97788836, {20271C86-0200-CD7B-9DEB-978653C2057C}
2023-03-29 09:57:46,076  INFO [main] - Total 17 annotation(s) removed from document 97788836, {05D423A4-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:46,117  INFO [main] - Total 1 annotation(s) removed from document 98073075, {05D879F3-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:46,139  INFO [main] - Total 1 annotation(s) removed from document 98073075, {60C41A86-0800-CA77-A2AB-A5F1EBA0F649}
2023-03-29 09:57:46,163  INFO [main] - Total 1 annotation(s) removed from document 98304422, {30701B86-0200-C479-A5A4-5673544EA756}
2023-03-29 09:57:46,195  INFO [main] - Total 1 annotation(s) removed from document 98304422, {05DC01A6-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:46,234  INFO [main] - Total 1 annotation(s) removed from document 98480222, {05DEB05E-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:46,254  INFO [main] - Total 1 annotation(s) removed from document 98480222, {E0F01B86-0500-CDA1-8D69-CE23B361BA48}
2023-03-29 09:57:46,340  INFO [main] - Total 2 annotation(s) removed from document 98588048, {D02E1A86-0400-CB28-AE1F-7A1A022E1D96}
2023-03-29 09:57:46,395  INFO [main] - Total 2 annotation(s) removed from document 98588048, {05E05590-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:46,449  INFO [main] - Total 2 annotation(s) removed from document 98962225, {10381B86-0900-C6BA-A346-AC6A2BA895B6}
2023-03-29 09:57:46,554  INFO [main] - Total 2 annotation(s) removed from document 98962225, {05E60B31-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:46,595  INFO [main] - Total 2 annotation(s) removed from document 99010153, {C05B1B86-0B00-C6D0-B173-48EB928C8CF1}
2023-03-29 09:57:46,639  INFO [main] - Total 2 annotation(s) removed from document 99010153, {05E6C669-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:46,700  INFO [main] - Total 3 annotation(s) removed from document 99141286, {50BE1B86-0200-C229-BF46-4BA2C87F255D}
2023-03-29 09:57:46,783  INFO [main] - Total 3 annotation(s) removed from document 99141286, {05E8C6A6-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:46,836  INFO [main] - Total 3 annotation(s) removed from document 99141306, {50BE1B86-0600-CB3E-B777-A3DBF6E56C81}
2023-03-29 09:57:46,890  INFO [main] - Total 3 annotation(s) removed from document 99141306, {05E8C6BA-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:46,933  INFO [main] - Total 2 annotation(s) removed from document 99141310, {05E8C6BE-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:46,962  INFO [main] - Total 2 annotation(s) removed from document 99141310, {50BE1B86-0700-CC53-8565-08522EDFA27D}
2023-03-29 09:57:47,010  INFO [main] - Total 1 annotation(s) removed from document 99218470, {05E9F426-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:47,030  INFO [main] - Total 1 annotation(s) removed from document 99218470, {F0F41B86-0B00-CC0C-BFE6-4D475630536F}
2023-03-29 09:57:47,109  INFO [main] - Total 1 annotation(s) removed from document 99285998, {80261C86-0700-C8B6-AABA-37772F049643}
2023-03-29 09:57:47,137  INFO [main] - Total 1 annotation(s) removed from document 99285998, {05EAFBEE-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:47,200  INFO [main] - Total 2 annotation(s) removed from document 99769705, {80311B86-0700-C89E-A912-0AF54FC01D25}
2023-03-29 09:57:47,245  INFO [main] - Total 2 annotation(s) removed from document 99769705, {05F25D69-70E6-568C-8F03-D6547421C277}
